,year,ceremony,award_En,award_Ch,movie_En,movie_Ch,wonOscar
57,1930,2,Best Performance by an Actress in a Leading Role,最佳女主角,Ruth Chatterton,鲁斯·查特顿,0
58,1930,2,Best Performance by an Actress in a Leading Role,最佳女主角,Jeanne Eagels,珍妮·伊戈尔斯,0
59,1930,2,Best Performance by an Actress in a Leading Role,最佳女主角,Betty Compson,贝蒂·康姆逊,0
60,1930,2,"Best Writing, Achievement",最佳编剧,The Patriot,爱国者,1
61,1930,2,"Best Writing, Achievement",最佳编剧,In Old Arizona,亚利桑纳奇侠,0
62,1930,2,"Best Writing, Achievement",最佳编剧,The Valiant,英勇,0
63,1930,2,"Best Writing, Achievement",最佳编剧,A Woman of Affairs,小霸王,0
64,1930,2,"Best Writing, Achievement",最佳编剧,Our Dancing Daughters,我们跳舞的姑娘们,0
65,1930,2,"Best Writing, Achievement",最佳编剧,The Leatherneck,海军陆战队员,0
66,1930,2,"Best Writing, Achievement",最佳编剧,The Last of Mrs. Cheyney,伦敦交际花,0
67,1930,2,"Best Writing, Achievement",最佳编剧,Skyscraper,摩天大厦,0
68,1930,2,"Best Writing, Achievement",最佳编剧,Sal of Singapore,新加坡的盐,0
69,1930,2,"Best Writing, Achievement",最佳编剧,The Cop,警察,0
70,1930,2,"Best Writing, Achievement",最佳编剧,Wonder of Women,女人的好奇,0
71,1930,2,Best Cinematography,最佳摄影,White Shadows in the South Seas,南海白影,1
72,1930,2,Best Cinematography,最佳摄影,In Old Arizona,亚利桑纳奇侠,0
73,1930,2,Best Cinematography,最佳摄影,The Divine Lady,女神,0
74,1930,2,Best Cinematography,最佳摄影,Street Angel,马路天使,0
75,1930,2,Best Cinematography,最佳摄影,4 Devils,四恶魔,0
76,1930,2,Best Cinematography,最佳摄影,Our Dancing Daughters,我们跳舞的姑娘们,0
77,1930,2,/ Best Production Design ( 最佳美术指导 Best Art Direction ),最佳艺术指导,The Bridge of San Luis Rey,圣路易线雷的大桥,1
78,1930,2,/ Best Production Design ( 最佳美术指导 Best Art Direction ),最佳艺术指导,Street Angel,马路天使,0
79,1930,2,/ Best Production Design ( 最佳美术指导 Best Art Direction ),最佳艺术指导,The Patriot,爱国者,0
80,1930,2,/ Best Production Design ( 最佳美术指导 Best Art Direction ),最佳艺术指导,Alibi,不在场证明,0
81,1930,2,/ Best Production Design ( 最佳美术指导 Best Art Direction ),最佳艺术指导,Dynamite,轰动人物,0
82,1930,2,/ Best Production Design ( 最佳美术指导 Best Art Direction ),最佳艺术指导,The Awakening,觉悟,0
83,1931,3,Best Motion Picture of the Year,最佳影片,All Quiet on the Western Front,西线无战事,1
84,1931,3,Best Motion Picture of the Year,最佳影片,The Love Parade,璇宫艳史,0
85,1931,3,Best Motion Picture of the Year,最佳影片,The Divorcee,弃妇怨,0
86,1931,3,Best Motion Picture of the Year,最佳影片,Disraeli,英宫外史,0
87,1931,3,Best Motion Picture of the Year,最佳影片,The Big House,牢狱鸳,0
88,1931,3,Best Achievement in Directing,最佳导演,Lewis Milestone,刘易斯·迈尔斯通,1
89,1931,3,Best Achievement in Directing,最佳导演,Ernst Lubitsch,恩斯特·刘别谦,0
90,1931,3,Best Achievement in Directing,最佳导演,Clarence Brown,克拉伦斯·布朗,0
91,1931,3,Best Achievement in Directing,最佳导演,Robert Z. Leonard,罗伯特·Z·伦纳德,0
92,1931,3,Best Achievement in Directing,最佳导演,King Vidor,金·维多,0
93,1931,3,Best Achievement in Directing,最佳导演,Clarence Brown,克拉伦斯·布朗,0
94,1931,3,Best Performance by an Actor in a Leading Role,最佳男主角,George Arliss,乔治·亚理斯,1
95,1931,3,Best Performance by an Actor in a Leading Role,最佳男主角,Maurice Chevalier,莫里斯·舍瓦利耶,0
96,1931,3,Best Performance by an Actor in a Leading Role,最佳男主角,George Arliss,乔治·亚理斯,0
97,1931,3,Best Performance by an Actor in a Leading Role,最佳男主角,Ronald Colman,罗纳德·考尔曼,0
98,1931,3,Best Performance by an Actor in a Leading Role,最佳男主角,Wallace Beery,华莱士·比里,0
99,1931,3,Best Performance by an Actor in a Leading Role,最佳男主角,Maurice Chevalier,莫里斯·舍瓦利耶,0
100,1931,3,Best Performance by an Actor in a Leading Role,最佳男主角,Ronald Colman,罗纳德·考尔曼,0
101,1931,3,Best Performance by an Actor in a Leading Role,最佳男主角,Lawrence Tibbett,劳伦斯·蒂贝特,0
102,1931,3,Best Performance by an Actress in a Leading Role,最佳女主角,Norma Shearer,瑙玛·希拉,1
103,1931,3,Best Performance by an Actress in a Leading Role,最佳女主角,Greta Garbo,葛丽泰·嘉宝,0
104,1931,3,Best Performance by an Actress in a Leading Role,最佳女主角,Greta Garbo,葛丽泰·嘉宝,0
105,1931,3,Best Performance by an Actress in a Leading Role,最佳女主角,Nancy Carroll,南茜·卡罗尔,0
106,1931,3,Best Performance by an Actress in a Leading Role,最佳女主角,Norma Shearer,瑙玛·希拉,0
107,1931,3,Best Performance by an Actress in a Leading Role,最佳女主角,Gloria Swanson,葛洛丽亚·斯旺森,0
108,1931,3,Best Performance by an Actress in a Leading Role,最佳女主角,Ruth Chatterton,鲁斯·查特顿,0
109,1931,3,"Best Writing, Achievement",最佳编剧,The Big House,牢狱鸳,1
110,1931,3,"Best Writing, Achievement",最佳编剧,All Quiet on the Western Front,西线无战事,0
111,1931,3,"Best Writing, Achievement",最佳编剧,The Divorcee,弃妇怨,0
112,1931,3,"Best Writing, Achievement",最佳编剧,Disraeli,英宫外史,0
113,1931,3,"Best Writing, Achievement",最佳编剧,Street of Chance,机遇街道,0
114,1931,3,Best Cinematography,最佳摄影,With Byrd at the South Pole,南极探险,1
115,1931,3,Best Cinematography,最佳摄影,The Love Parade,璇宫艳史,0
116,1931,3,Best Cinematography,最佳摄影,Anna Christie,安娜·克里斯蒂,0
117,1931,3,Best Cinematography,最佳摄影,All Quiet on the Western Front,西线无战事,0
118,1931,3,Best Cinematography,最佳摄影,Hell's Angels,地狱天使,0
119,1931,3,"Best Sound, Recording",最佳录音,The Big House,牢狱鸳,1
120,1931,3,"Best Sound, Recording",最佳录音,The Love Parade,璇宫艳史,0
121,1931,3,"Best Sound, Recording",最佳录音,Raffles,拉弗尔斯,0
122,1931,3,"Best Sound, Recording",最佳录音,The Song of the Flame,火焰之歌,0
123,1931,3,"Best Sound, Recording",最佳录音,The Case of Sergeant Grischa,格里斯查中士之案,0
124,1931,3,/ Best Production Design ( 最佳美术指导 Best Art Direction ),最佳艺术指导,King of Jazz,爵士之王,1
125,1931,3,/ Best Production Design ( 最佳美术指导 Best Art Direction ),最佳艺术指导,The Love Parade,璇宫艳史,0
126,1931,3,/ Best Production Design ( 最佳美术指导 Best Art Direction ),最佳艺术指导,Bulldog Drummond,名媛双胞案,0
127,1931,3,/ Best Production Design ( 最佳美术指导 Best Art Direction ),最佳艺术指导,The Vagabond King,流浪国王,0
128,1931,3,/ Best Production Design ( 最佳美术指导 Best Art Direction ),最佳艺术指导,Sally,莎莉,0
129,1932,4,Best Motion Picture of the Year,最佳影片,Cimarron,壮志千秋,1
130,1932,4,Best Motion Picture of the Year,最佳影片,Trader Horn,大探险,0
131,1932,4,Best Motion Picture of the Year,最佳影片,The Front Page,犯罪的都市,0
132,1932,4,Best Motion Picture of the Year,最佳影片,Skippy,淘哥儿,0
133,1932,4,Best Motion Picture of the Year,最佳影片,East Lynne,空谷兰,0
134,1932,4,Best Achievement in Directing,最佳导演,Norman Taurog,诺曼·陶罗格,1
135,1932,4,Best Achievement in Directing,最佳导演,Lewis Milestone,刘易斯·迈尔斯通,0
136,1932,4,Best Achievement in Directing,最佳导演,Josef von Sternberg,约瑟夫·冯·斯登堡,0
137,1932,4,Best Achievement in Directing,最佳导演,Wesley Ruggles,韦斯利·鲁格尔斯,0
138,1932,4,Best Achievement in Directing,最佳导演,Clarence Brown,克拉伦斯·布朗,0
139,1932,4,Best Performance by an Actor in a Leading Role,最佳男主角,Lionel Barrymore,莱昂纳尔·巴里摩尔,1
140,1932,4,Best Performance by an Actor in a Leading Role,最佳男主角,Adolphe Menjou,阿道夫·门吉欧,0
141,1932,4,Best Performance by an Actor in a Leading Role,最佳男主角,Richard Dix,理查德·迪克斯,0
142,1932,4,Best Performance by an Actor in a Leading Role,最佳男主角,Jackie Cooper,杰基·库珀,0
143,1932,4,Best Performance by an Actor in a Leading Role,最佳男主角,Fredric March,弗雷德里克·马奇,0
144,1932,4,Best Performance by an Actress in a Leading Role,最佳女主角,Marie Dressler,玛丽·杜丝勒,1
145,1932,4,Best Performance by an Actress in a Leading Role,最佳女主角,Marlene Dietrich,玛琳·黛德丽,0
146,1932,4,Best Performance by an Actress in a Leading Role,最佳女主角,Irene Dunne,艾琳·邓恩,0
147,1932,4,Best Performance by an Actress in a Leading Role,最佳女主角,Norma Shearer,瑙玛·希拉,0
148,1932,4,Best Performance by an Actress in a Leading Role,最佳女主角,Ann Harding,安·哈丁,0
149,1932,4,"Best Writing, Original Story",最佳原创故事,The Dawn Patrol,拂晓侦查,1
150,1932,4,"Best Writing, Original Story",最佳原创故事,The Public Enemy,国民公敌,0
151,1932,4,"Best Writing, Original Story",最佳原创故事,The Doorway to Hell,地狱之门,0
152,1932,4,"Best Writing, Original Story",最佳原创故事,Smart Money,挥金如土,0
153,1932,4,"Best Writing, Original Story",最佳原创故事,Laughter,笑声,0
154,1932,4,"Best Writing, Adapted Screenplay",最佳改编剧本,Cimarron,壮志千秋,1
155,1932,4,"Best Writing, Adapted Screenplay",最佳改编剧本,Skippy,淘哥儿,0
156,1932,4,"Best Writing, Adapted Screenplay",最佳改编剧本,Little Caesar,小凯撒,0
157,1932,4,"Best Writing, Adapted Screenplay",最佳改编剧本,The Criminal Code,刑法典,0
158,1932,4,"Best Writing, Adapted Screenplay",最佳改编剧本,Holiday,假日,0
159,1932,4,Best Cinematography,最佳摄影,Tabu: A Story of the South Seas,禁忌,1
160,1932,4,Best Cinematography,最佳摄影,Svengali,斯文加利,0
161,1932,4,Best Cinematography,最佳摄影,Morocco,摩洛哥,0
162,1932,4,Best Cinematography,最佳摄影,Cimarron,壮志千秋,0
163,1932,4,Best Cinematography,最佳摄影,The Right to Love,爱的权利,0
164,1932,4,/ Best Production Design ( 最佳美术指导 Best Art Direction ),最佳艺术指导,Cimarron,壮志千秋,1
165,1932,4,/ Best Production Design ( 最佳美术指导 Best Art Direction ),最佳艺术指导,Svengali,斯文加利,0
166,1932,4,/ Best Production Design ( 最佳美术指导 Best Art Direction ),最佳艺术指导,Morocco,摩洛哥,0
167,1932,4,/ Best Production Design ( 最佳美术指导 Best Art Direction ),最佳艺术指导,Whoopee!,哇呼！,0
168,1932,4,/ Best Production Design ( 最佳美术指导 Best Art Direction ),最佳艺术指导,Just Imagine,五十年后之世界,0
169,1933,5,Best Motion Picture of the Year,最佳影片,Grand Hotel,大饭店,1
170,1933,5,Best Motion Picture of the Year,最佳影片,Five Star Final,最后的五颗星,0
171,1933,5,Best Motion Picture of the Year,最佳影片,Bad Girl,难测女人心,0
172,1933,5,Best Motion Picture of the Year,最佳影片,Arrowsmith,阿罗史密斯,0
173,1933,5,Best Motion Picture of the Year,最佳影片,Shanghai Express,上海快车,0
174,1933,5,Best Motion Picture of the Year,最佳影片,One Hour with You,红楼艳史,0
175,1933,5,Best Motion Picture of the Year,最佳影片,The Champ,舐犊情深,0
176,1933,5,Best Motion Picture of the Year,最佳影片,The Smiling Lieutenant,驸马艳史,0
177,1933,5,Best Achievement in Directing,最佳导演,Frank Borzage,弗兰克·鲍沙其,1
178,1933,5,Best Achievement in Directing,最佳导演,Josef von Sternberg,约瑟夫·冯·斯登堡,0
179,1933,5,Best Achievement in Directing,最佳导演,King Vidor,金·维多,0
180,1933,5,Best Performance by an Actor in a Leading Role,最佳男主角,Fredric March,弗雷德里克·马奇,1
181,1933,5,Best Performance by an Actor in a Leading Role,最佳男主角,Wallace Beery,华莱士·比里,1
182,1933,5,Best Performance by an Actor in a Leading Role,最佳男主角,Alfred Lunt,阿尔弗雷德·伦特,0
183,1933,5,Best Performance by an Actress in a Leading Role,最佳女主角,Helen Hayes,海伦·海丝,1
184,1933,5,Best Performance by an Actress in a Leading Role,最佳女主角,Marie Dressler,玛丽·杜丝勒,0
185,1933,5,Best Performance by an Actress in a Leading Role,最佳女主角,Lynn Fontanne,琳·芳丹,0
186,1933,5,"Best Writing, Original Story",最佳原创故事,The Champ,舐犊情深,1
187,1933,5,"Best Writing, Original Story",最佳原创故事,What Price Hollywood?,好莱坞的价值,0
188,1933,5,"Best Writing, Original Story",最佳原创故事,The Star Witness,明星证人,0
189,1933,5,"Best Writing, Original Story",最佳原创故事,Lady and Gent,淑女绅士,0
190,1933,5,"Best Writing, Adapted Screenplay",最佳改编剧本,Bad Girl,难测女人心,1
191,1933,5,"Best Writing, Adapted Screenplay",最佳改编剧本,Dr. Jekyll and Mr. Hyde,化身博士,0
192,1933,5,"Best Writing, Adapted Screenplay",最佳改编剧本,Arrowsmith,阿罗史密斯,0
193,1933,5,Best Cinematography,最佳摄影,Shanghai Express,上海快车,1
194,1933,5,Best Cinematography,最佳摄影,Dr. Jekyll and Mr. Hyde,化身博士,0
195,1933,5,Best Cinematography,最佳摄影,Arrowsmith,阿罗史密斯,0
196,1933,5,/ Best Production Design ( 最佳美术指导 Best Art Direction ),最佳艺术指导,Transatlantic,横越大西洋,1
197,1933,5,/ Best Production Design ( 最佳美术指导 Best Art Direction ),最佳艺术指导,Arrowsmith,阿罗史密斯,0
198,1933,5,/ Best Production Design ( 最佳美术指导 Best Art Direction ),最佳艺术指导,À nous la liberté,我们等待自由,0
199,1933,5,"Best Short Film, Animated",最佳动画短片,Flowers and Trees,花与树,1
200,1933,5,"Best Short Film, Animated",最佳动画短片,Mickey's Orphans,米奇的孤儿们,0
201,1933,5,"Best Short Film, Animated",最佳动画短片,It's Got Me Again,又抓到了我,0
202,1933,5,"Best Short Subject, Comedy",最佳喜剧短片,The Music Box,音乐盒,1
203,1933,5,"Best Short Subject, Comedy",最佳喜剧短片,Hearts and Willing Hands,Stout,0
204,1933,5,"Best Short Subject, Comedy",最佳喜剧短片,The Loud Mouth,大嘴巴,0
205,1933,5,"Best Short Subject, Comedy",最佳喜剧短片,Scratch-As-Catch-Can,Scratch-As-Catch-Ca,0
206,1933,5,"Best Short Subject, Novelty",最佳奇幻短片,Wrestling Swordfish,箭鱼摔跤,1
207,1933,5,"Best Short Subject, Novelty",最佳奇幻短片,Souvenirs,Screen,0
208,1933,5,"Best Short Subject, Novelty",最佳奇幻短片,High,Swing,0
209,1934,6,Best Motion Picture of the Year,最佳影片,Cavalcade,乱世春秋,1
210,1934,6,Best Motion Picture of the Year,最佳影片,I Am a Fugitive from a Chain Gang,亡命者,0
211,1934,6,Best Motion Picture of the Year,最佳影片,42nd Street,第四十二街,0
212,1934,6,Best Motion Picture of the Year,最佳影片,She Done Him Wrong,侬本多情,0
213,1934,6,Best Motion Picture of the Year,最佳影片,State Fair,赛珍会,0
214,1934,6,Best Motion Picture of the Year,最佳影片,A Farewell to Arms,告别武器,0
215,1934,6,Best Motion Picture of the Year,最佳影片,The Private Life of Henry VIII,英宫艳史,0
216,1934,6,Best Motion Picture of the Year,最佳影片,Little Women,小妇人,0
217,1934,6,Best Motion Picture of the Year,最佳影片,Lady for a Day,一日贵妇,0
218,1934,6,Best Motion Picture of the Year,最佳影片,Smilin' Through,旧情别寄,0
219,1934,6,Best Achievement in Directing,最佳导演,Frank Lloyd,弗兰克·洛伊德,1
220,1934,6,Best Achievement in Directing,最佳导演,George Cukor,乔治·库克,0
221,1934,6,Best Achievement in Directing,最佳导演,Frank Capra,弗兰克·卡普拉,0
222,1934,6,Best Assistant Director,最佳助理导演,Charles Barton,查尔斯·巴顿,1
223,1934,6,Best Assistant Director,最佳助理导演,Scott R. Beal,斯科特·R·里尔,1
224,1934,6,Best Assistant Director,最佳助理导演,Charles Dorian,查尔斯·多利安,1
225,1934,6,Best Assistant Director,最佳助理导演,Fred Fox,弗雷德·福克斯,1
226,1934,6,Best Assistant Director,最佳助理导演,Gordon Hollingshead,戈登·霍林斯海德,1
227,1934,6,Best Assistant Director,最佳助理导演,Dewey Starkey,德威·斯塔尔基,1
228,1934,6,Best Assistant Director,最佳助理导演,William Tummel,威廉·塔默尔,1
229,1934,6,Best Assistant Director,最佳助理导演,Al Alleborn,阿尔·埃利伯恩,0
230,1934,6,Best Assistant Director,最佳助理导演,Sid Brod,西德·布罗德,0
231,1934,6,Best Assistant Director,最佳助理导演,Orville O. Dull,厄维尔·O·道尔,0
232,1934,6,Best Assistant Director,最佳助理导演,Percy Ikerd,珀西·伊克尔德,0
233,1934,6,Best Assistant Director,最佳助理导演,Arthur Jacobson,亚瑟·雅各布森,0
234,1934,6,Best Assistant Director,最佳助理导演,Edward Killy,爱德华·基利,0
235,1934,6,Best Assistant Director,最佳助理导演,Joseph A. McDonough,约瑟夫·A·麦克多纳,0
236,1934,6,Best Assistant Director,最佳助理导演,William J. Reiter,威廉·J·里特,0
237,1934,6,Best Assistant Director,最佳助理导演,Frank Shaw,弗兰克·肖,0
238,1934,6,Best Assistant Director,最佳助理导演,Ben Silvey,本·西尔维,0
239,1934,6,Best Assistant Director,最佳助理导演,John Waters,约翰·沃特斯,0
240,1934,6,Best Performance by an Actor in a Leading Role,最佳男主角,Charles Laughton,查尔斯·劳顿,1
241,1934,6,Best Performance by an Actor in a Leading Role,最佳男主角,Paul Muni,保罗·穆尼,0
242,1934,6,Best Performance by an Actor in a Leading Role,最佳男主角,Leslie Howard,莱斯利·霍华德,0
243,1934,6,Best Performance by an Actress in a Leading Role,最佳女主角,Katharine Hepburn,凯瑟琳·赫本,1
244,1934,6,Best Performance by an Actress in a Leading Role,最佳女主角,May Robson,梅·罗布森,0
245,1934,6,Best Performance by an Actress in a Leading Role,最佳女主角,Diana Wynyard,黛安娜·温亚德,0
246,1934,6,"Best Writing, Original Story",最佳原创故事,One Way Passage,直航恋曲,1
247,1934,6,"Best Writing, Original Story",最佳原创故事,Rasputin and the Empress,拉斯普丁与皇后,0
248,1934,6,"Best Writing, Original Story",最佳原创故事,The Prizefighter and the Lady,果然夺得锦标归,0
249,1934,6,"Best Writing, Adapted Screenplay",最佳改编剧本,Little Women,小妇人,1
250,1934,6,"Best Writing, Adapted Screenplay",最佳改编剧本,State Fair,赛珍会,0
251,1934,6,"Best Writing, Adapted Screenplay",最佳改编剧本,Lady for a Day,一日贵妇,0
252,1934,6,Best Cinematography,最佳摄影,A Farewell to Arms,告别武器,1
253,1934,6,Best Cinematography,最佳摄影,The Sign of the Cross,罗宫春色,0
254,1934,6,Best Cinematography,最佳摄影,Reunion in Vienna,重聚维也纳,0
255,1934,6,"Best Sound, Recording",最佳录音,A Farewell to Arms,告别武器,1
256,1934,6,"Best Sound, Recording",最佳录音,I Am a Fugitive from a Chain Gang,亡命者,0
257,1934,6,"Best Sound, Recording",最佳录音,42nd Street,第四十二街,0
258,1934,6,"Best Sound, Recording",最佳录音,Gold Diggers of 1933,1933年淘金女郎,0
259,1934,6,/ Best Production Design ( 最佳美术指导 Best Art Direction ),最佳艺术指导,Cavalcade,乱世春秋,1
260,1934,6,/ Best Production Design ( 最佳美术指导 Best Art Direction ),最佳艺术指导,A Farewell to Arms,告别武器,0
261,1934,6,/ Best Production Design ( 最佳美术指导 Best Art Direction ),最佳艺术指导,When Ladies Meet,春缘,0
262,1934,6,"Best Short Film, Animated",最佳动画短片,Three Little Pigs,三只小猪,1
263,1934,6,"Best Short Film, Animated",最佳动画短片,Building a Building,建房子,0
264,1934,6,"Best Short Film, Animated",最佳动画短片,The Merry Old Soul,快乐的老幽灵,0
265,1934,6,"Best Short Subject, Comedy",最佳喜剧短片,So This is Harris,这就是哈里斯,1
266,1934,6,"Best Short Subject, Comedy",最佳喜剧短片,Mugg,Mister,0
267,1934,6,"Best Short Subject, Comedy",最佳喜剧短片,Preferred List,A,0
268,1934,6,"Best Short Subject, Novelty",最佳奇幻短片,Krakatoa,腊卡塔火山,1
269,1934,6,"Best Short Subject, Novelty",最佳奇幻短片,Menu,Men,0
270,1934,6,"Best Short Subject, Novelty",最佳奇幻短片,Morze,Morz,0
271,1935,7,Best Motion Picture of the Year,最佳影片,It Happened One Night,一夜风流,1
272,1935,7,Best Motion Picture of the Year,最佳影片,Viva Villa!,自由万岁,0
273,1935,7,Best Motion Picture of the Year,最佳影片,The Thin Man,瘦子,0
274,1935,7,Best Motion Picture of the Year,最佳影片,Cleopatra,埃及艳后,0
275,1935,7,Best Motion Picture of the Year,最佳影片,The Barretts of Wimpole Street,红楼春怨,0
276,1935,7,Best Motion Picture of the Year,最佳影片,The Gay Divorcee,柳暗花明,0
277,1935,7,Best Motion Picture of the Year,最佳影片,One Night of Love,一夜爱情,0
278,1935,7,Best Motion Picture of the Year,最佳影片,Imitation of Life,春风秋雨,0
279,1935,7,Best Motion Picture of the Year,最佳影片,Flirtation Walk,漫步调情,0
280,1935,7,Best Motion Picture of the Year,最佳影片,The House of Rothschild,红盾家族传奇,0
281,1935,7,Best Motion Picture of the Year,最佳影片,Here Comes the Navy,海军来了,0
282,1935,7,Best Motion Picture of the Year,最佳影片,The White Parade,游行,0
283,1935,7,Best Achievement in Directing,最佳导演,Frank Capra,弗兰克·卡普拉,1
284,1935,7,Best Achievement in Directing,最佳导演,W.S. Van Dyke,W.S.范戴克,0
285,1935,7,Best Achievement in Directing,最佳导演,Victor Schertzinger,维克多·舍辛格,0
286,1935,7,Best Assistant Director,最佳助理导演,John Waters,约翰·沃特斯,1
287,1935,7,Best Assistant Director,最佳助理导演,Cullen Tate,卡伦·泰特,0
288,1935,7,Best Assistant Director,最佳助理导演,Scott R. Beal,斯科特·R·里尔,0
289,1935,7,Best Performance by an Actor in a Leading Role,最佳男主角,Clark Gable,克拉克·盖博,1
290,1935,7,Best Performance by an Actor in a Leading Role,最佳男主角,William Powell,威廉·鲍威尔,0
291,1935,7,Best Performance by an Actor in a Leading Role,最佳男主角,Frank Morgan,弗兰克·摩根,0
